x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8062678,0.013952384,1.0376368,0.60208464,0.25326118,0.47003478,0.61616117,0.2212956,-1.2477481,-0.1010521,-0.015725825,-0.2384369,1.0948917,-0.33860373
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.80581516,0.014020194,1.0377761,0.6033678,0.25890008,0.4656307,0.6110781,0.114447,-1.2593546,-0.21554288,-0.012813333,0.39178652,0.9447021,0.5231531
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8059941,0.01393437,1.0374982,0.6033641,0.25670496,0.46417847,0.60631967,0.36889103,-1.2961193,-0.25156268,-0.07472083,0.54270893,1.021099,-0.67951685
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8052312,0.01470865,1.037965,0.60230637,0.26210237,0.47175494,0.57990754,0.34867612,-1.1639533,-0.4427963,-0.00056808436,-0.18227492,0.9380756,-0.15713033
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.80621916,0.014536822,1.0378433,0.60393655,0.2613433,0.47177142,0.6268197,0.8164049,-1.2295371,-0.09896765,0.046915848,-0.015803942,0.98859435,-0.064060815
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8057067,0.014993559,1.0387368,0.60295814,0.2582612,0.46605515,0.6176043,0.27955303,-1.2356279,-0.11851716,-0.08130068,0.25041366,1.1990714,-0.33005577
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8054794,0.014503031,1.0382285,0.60302466,0.25274652,0.46556902,0.6195264,-0.66474116,-1.2198758,-0.34299046,-0.00141291,-0.00020295783,1.0771588,-0.742521
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8085975,0.013927739,1.0388365,0.60265523,0.2611454,0.47466695,0.6310673,0.83314914,-1.3158218,0.3219869,-0.08209374,0.15177405,1.0413777,0.48600778
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.80679387,0.015234407,1.0375674,0.6036369,0.24921873,0.46062088,0.616375,0.3210471,-1.2609885,-0.16682264,-0.043343198,0.122444786,0.980277,-0.39894262
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8053691,0.014937154,1.0389795,0.60297155,0.25342345,0.46866235,0.6137052,0.5427807,-1.2157727,-0.17761177,-0.043253012,0.14638604,1.256931,0.13812533
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8054745,0.014605071,1.0385016,0.60337853,0.2547039,0.45851174,0.63038975,-0.5492839,-1.3564826,0.6277313,-0.13309479,-0.021579517,1.141841,0.16415597
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8049483,0.014039253,1.0376705,0.6041419,0.26365134,0.4679188,0.6016384,0.203884,-1.3070781,-0.2693357,-0.01976985,0.31444067,1.023917,0.05387018
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8064078,0.014801235,1.037962,0.6015686,0.26505703,0.46819064,0.59960246,0.22429976,-1.2413031,-0.26980597,0.093911715,0.0246744,1.239542,0.21373406
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8063688,0.014091955,1.0384514,0.60294056,0.27550492,0.4621251,0.62400687,-0.36294806,-1.1639953,-0.19205832,0.027458457,0.75125736,1.2505654,-0.33903876
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.80477816,0.014607311,1.037573,0.60329163,0.2559072,0.46820217,0.58124214,0.069492705,-1.1901935,-0.37017238,0.0040936735,-0.22552937,1.0028495,0.009734999
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8072165,0.014904705,1.0376433,0.60317236,0.2503629,0.46535546,0.60330087,1.2157083,-1.2517736,-0.10683712,-0.057750437,-0.0077831266,1.0233523,-0.49706382
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.806054,0.015000914,1.038548,0.6014467,0.2671958,0.45570692,0.6028908,-0.6081173,-1.3013248,-0.10164349,0.0041815513,0.08927063,1.0667825,-0.24410276
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.80653536,0.015249951,1.0377365,0.603066,0.25312364,0.4699663,0.6118463,0.18252192,-1.2787057,-0.27760383,-0.13897474,-0.18418805,1.1321306,0.20993708
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8059712,0.014522304,1.0377018,0.6020677,0.2595305,0.46869135,0.5735047,0.35132015,-1.1949053,0.21440728,-0.014845616,0.0053956765,1.0127419,0.20986694
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8070905,0.015191343,1.0385767,0.6013482,0.25275713,0.47176567,0.6243586,0.9487832,-1.299619,-0.19515023,-0.010153593,-0.018098932,1.354039,-0.41836232
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8045573,0.014253463,1.037384,0.602055,0.26303622,0.4658331,0.61149424,0.4132452,-1.2287741,-0.29309902,0.024769852,0.028923523,1.0487195,0.33240175
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8052063,0.014070605,1.0381421,0.6029724,0.25265363,0.47159016,0.6027294,0.98806745,-1.2434909,-0.239443,0.0025230527,-0.00056093774,1.0251973,0.11178324
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.805766,0.014173189,1.0384192,0.6014099,0.2575845,0.46051922,0.6059043,-0.66357297,-1.2395853,-0.41459268,-0.04731187,0.5553315,1.1178815,0.21653947
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8064978,0.015846547,1.0384114,0.60193706,0.268658,0.4614615,0.6131745,0.90231925,-1.1754284,-0.07639939,-0.0009664272,-0.27530038,1.1470203,-0.50883865
-0.1,0.1,1.2999999999999998,0.0,0.5235987755982988,0,0.8077405,0.014683097,1.0374327,0.6019246,0.2641636,0.4616232,0.61699975,0.61403745,-1.1517379,0.20875143,-0.039281253,-0.06836882,1.1551536,-0.6810251
