x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,-0.17453292519943286,1.7845265,1.4501324,0.21432078,-0.011500358,0.102515966,1.142391,0.700303,-0.43465582,1.3601638,-0.09055878,-0.43123877,0.0024473849,1.3882135,-0.36148706
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,-0.17453292519943286,1.7415357,1.4575028,0.21398148,0.007912099,0.11205652,1.1366587,0.64201,-0.44124484,1.356838,-0.08386522,-0.4283774,0.009808607,1.3895011,-0.38793477
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,-0.17453292519943286,1.761393,1.4441761,0.21953912,0.0040129693,0.11223476,1.135379,0.6484966,-0.43894634,1.3546481,-0.083518095,-0.42241895,0.008409925,1.3925486,-0.35309458
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,-0.17453292519943286,1.7823738,1.4570284,0.21434134,-0.010431504,0.11977527,1.1421622,0.61832863,-0.4362489,1.3540223,-0.09506552,-0.42684945,0.0061704433,1.3849294,-0.38007408
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,-0.17453292519943286,1.7641323,1.4540262,0.22376037,0.014341228,0.09841375,1.1430897,0.6857488,-0.43878716,1.3440853,-0.08719019,-0.43022287,0.0048107444,1.3944491,-0.38600683
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,-0.17453292519943286,1.7620268,1.4458212,0.20951213,-0.014506539,0.09371659,1.1480181,0.64906085,-0.43304542,1.3572668,-0.08831498,-0.42827377,0.0067616426,1.390826,-0.37782001
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,-0.17453292519943286,1.7975315,1.4522517,0.21193624,-0.003735801,0.09690648,1.147537,0.65362126,-0.4400646,1.3554704,-0.09207101,-0.42599592,0.00038708752,1.3869919,-0.38953847
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,-0.17453292519943286,1.7733785,1.447668,0.21308783,-0.014144273,0.12169292,1.1406335,0.6484741,-0.43877575,1.3513802,-0.08235589,-0.42890614,0.012482683,1.3909794,-0.39489824
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,-0.17453292519943286,1.7250979,1.452602,0.22367933,-0.021014154,0.100873396,1.1405947,0.6788936,-0.4380605,1.358848,-0.08609613,-0.42907453,0.0042727203,1.3953443,-0.38063812
-0.2,-0.2,0.6,-0.5235987755982988,-0.34906585039886584,-0.17453292519943286,1.7459137,1.4465629,0.22524466,-0.008771339,0.13371354,1.1484371,0.6665724,-0.44003052,1.3521781,-0.081989,-0.4268084,0.0019551674,1.3934709,-0.37607145
