x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
-0.2,-0.2,0.8999999999999999,-0.5235987755982988,-0.5235987755982988,0,0.25843847,-1.8446401,-0.09015323,-0.095770076,0.010800088,1.271818,-0.51444846,-1.1495183,0.56787235,-0.18593866,0.20976906,-0.25813794,-1.5441424,-0.7481303
-0.2,-0.2,0.8999999999999999,-0.5235987755982988,-0.5235987755982988,0,-0.3220031,-1.8607857,-0.2507947,-0.08183488,-0.02967263,1.2283214,0.5125956,-1.1501027,0.56743646,-0.1850516,0.2102645,-0.2245261,-1.5477428,-0.16048822
-0.2,-0.2,0.8999999999999999,-0.5235987755982988,-0.5235987755982988,0,1.3709217,-1.8210926,-0.0044247685,-0.11901744,-0.018214248,1.242731,0.12533437,-1.1498865,0.568208,-0.18545923,0.210243,-0.23774596,-1.5651885,-1.4789302
-0.2,-0.2,0.8999999999999999,-0.5235987755982988,-0.5235987755982988,0,0.6105568,-1.8494112,-0.24524213,-0.049690995,0.24813893,1.265511,-0.6822757,-1.1489371,0.5680484,-0.18528605,0.21071473,-0.25694513,-1.557597,-0.46986642
-0.2,-0.2,0.8999999999999999,-0.5235987755982988,-0.5235987755982988,0,-0.25499693,-1.8713243,0.05323114,-0.06749565,-0.09515794,1.2065305,-0.40930945,-1.1496379,0.5681941,-0.18562302,0.21062602,-0.22858118,-1.551288,-0.3361463
-0.2,-0.2,0.8999999999999999,-0.5235987755982988,-0.5235987755982988,0,0.4767181,-1.7905995,-0.18939014,-0.09597658,0.14787856,1.2545851,-0.5594085,-1.1497393,0.5678123,-0.18462689,0.20999506,-0.22398312,-1.557974,-0.8177367
-0.2,-0.2,0.8999999999999999,-0.5235987755982988,-0.5235987755982988,0,1.4670352,-1.8773725,-0.06494234,-0.06627212,0.101328254,1.2748599,-0.74675256,-1.1500537,0.5683257,-0.1860109,0.21066228,-0.2461437,-1.5552192,-0.78557634
-0.2,-0.2,0.8999999999999999,-0.5235987755982988,-0.5235987755982988,0,0.41784877,-1.7969385,-0.21133251,-0.04027347,-0.19823179,1.2545168,-0.81499004,-1.1498262,0.56778777,-0.18588987,0.21053578,-0.29155645,-1.5534784,0.048037868
-0.2,-0.2,0.8999999999999999,-0.5235987755982988,-0.5235987755982988,0,0.0013196558,-1.7326647,-0.14020939,-0.12023225,-0.06670058,1.2687699,-0.35072342,-1.1497135,0.56817925,-0.18511924,0.21067457,-0.21095859,-1.5551888,-0.60864735
-0.2,-0.2,0.8999999999999999,-0.5235987755982988,-0.5235987755982988,0,-0.36833024,-1.9143451,-0.23218557,-0.05621567,0.092028804,1.2791077,-0.5230089,-1.149626,0.56814736,-0.1846434,0.21061262,-0.2437526,-1.555342,-0.5660756
