x,y,z,roll,pitch,yaw,robot1/joint1,robot1/joint2,robot1/joint3,robot1/joint4,robot1/joint5,robot1/joint6,robot1/joint7,robot2/joint1,robot2/joint2,robot2/joint3,robot2/joint4,robot2/joint5,robot2/joint6,robot2/joint7
-0.2,0.10000000000000003,0.7,-0.5235987755982988,0.5235987755982988,0,-0.2087445,1.6036909,1.069116,0.060769036,-0.17356539,0.6137618,0.1655028,1.9026448,-0.9786384,-0.18526362,-0.19161035,0.20822853,1.0649835,0.4647086
-0.2,0.10000000000000003,0.7,-0.5235987755982988,0.5235987755982988,0,-0.22537051,1.6002525,1.0391885,0.07358735,-0.21260364,0.61781776,0.4408176,1.4231858,-0.99988335,0.007967321,-0.15880829,0.07610965,1.1528352,-0.04842029
-0.2,0.10000000000000003,0.7,-0.5235987755982988,0.5235987755982988,0,-0.22461605,1.6154091,1.005568,0.06846941,-0.10985262,0.5845429,0.06309148,1.6634798,-0.9682576,-0.1407563,-0.2291582,0.013778604,1.2107372,1.1742688
-0.2,0.10000000000000003,0.7,-0.5235987755982988,0.5235987755982988,0,-0.22284503,1.6037061,1.0551776,0.076848485,-0.1759101,0.5982504,0.1346891,1.5107747,-0.882385,-0.019371262,-0.13470261,-0.18567583,1.1844639,0.43716404
-0.2,0.10000000000000003,0.7,-0.5235987755982988,0.5235987755982988,0,-0.21932516,1.6096529,1.0240508,0.065347865,-0.1883102,0.6071563,0.5499422,1.590752,-0.96305317,0.22101237,-0.13141374,0.21536964,1.1396096,1.2235997
-0.2,0.10000000000000003,0.7,-0.5235987755982988,0.5235987755982988,0,-0.23459437,1.615056,1.035559,0.077128634,-0.19728099,0.6054801,0.23331794,0.6782463,-0.9463933,0.24992052,-0.19536792,-0.34064728,1.1777126,0.4742472
-0.2,0.10000000000000003,0.7,-0.5235987755982988,0.5235987755982988,0,-0.25032604,1.6109505,1.060364,0.075690605,-0.21676171,0.6022605,-0.47995588,0.94907856,-0.93506205,0.1114204,-0.17173387,-0.4513991,1.1065104,0.52599645
-0.2,0.10000000000000003,0.7,-0.5235987755982988,0.5235987755982988,0,-0.23600796,1.6063355,1.0305208,0.08432758,-0.13868044,0.6046735,0.39645523,1.1545137,-0.9211489,-0.076622024,-0.12542948,-0.031979673,1.2469306,0.1639075
-0.2,0.10000000000000003,0.7,-0.5235987755982988,0.5235987755982988,0,-0.24269924,1.6067978,1.0636368,0.06956292,-0.18938892,0.6082852,0.14459592,0.57330704,-1.002572,-0.100246914,-0.14278764,0.19738252,1.1247259,1.0561645
-0.2,0.10000000000000003,0.7,-0.5235987755982988,0.5235987755982988,0,-0.23907255,1.6104302,1.038607,0.08395679,-0.12951338,0.6023292,-0.06621146,0.9661713,-0.9446001,-0.22559598,-0.21041086,0.13757785,1.156371,1.1153885
