Wall time,Step,Value
1724042981.5728555,1,0.033085037022829056
1724042991.081894,4,0.06754746288061142
1724042994.2043023,5,0.10092391818761826
1724043012.9363785,11,0.11038921028375626
1724043016.0576952,12,0.19397200644016266
1724043025.5252001,15,0.047237858176231384
1724043028.721376,16,0.19211207330226898
1724043038.2613804,19,0.2028263956308365
1724043041.4227297,20,0.15751327574253082
1724043044.6240048,21,0.25952988862991333
1724043050.9926322,23,0.11228831112384796
1724043054.1924617,24,0.20543774962425232
1724043063.9635212,27,0.23069781064987183
1724043067.1898417,28,0.2577204406261444
1724043086.4801545,34,0.1779685616493225
1724043096.1240091,37,0.31293052434921265
1724043099.3327715,38,0.45227354764938354
1724043102.555288,39,0.3625645041465759
1724043105.8009531,40,0.39290857315063477
1724043109.0689847,41,0.24630597233772278
1724043131.869726,48,0.3847292959690094
1724043135.123074,49,0.30095425248146057
1724043138.3938208,50,0.44484975934028625
1724043144.9660022,52,0.5448573231697083
1724043148.2592607,53,0.6816507577896118
1724043154.783337,55,0.5198694467544556
1724043164.642991,58,0.6256043314933777
1724043174.549346,61,0.7302867770195007
1724043177.8568478,62,0.6552848815917969
1724043181.1551013,63,0.43434762954711914
1724043184.4581258,64,0.6501598954200745
1724043191.1126552,66,0.7366887331008911
1724043194.4581838,67,0.717555582523346
1724043197.7796915,68,0.8465009331703186
1724043201.109092,69,0.46311232447624207
1724043207.7721682,71,0.615810751914978
1724043211.0973594,72,0.9629863500595093
1724043231.181364,78,1.0203986167907715
1724043237.8463397,80,0.729742169380188
1724043241.2196667,81,1.1239781379699707
1724043247.9339206,83,0.7055026292800903
1724043251.3145056,84,0.8934049606323242
1724043258.0173123,86,1.1343530416488647
1724043271.5098908,90,0.7467852830886841
1724043274.8937905,91,1.559468388557434
1724043291.843349,96,0.8526949286460876
1724043305.4285223,100,1.7821558713912964
1724043308.8636146,101,0.9752947688102722
1724043319.1006527,104,1.8039779663085938
1724043329.3451486,107,1.4139750003814697
1724043332.80899,108,0.8959242105484009
1724043339.7112987,110,1.1361793279647827
1724043356.8651583,115,1.8540618419647217
1724043363.7356327,117,1.9674148559570312
1724043380.9563556,122,1.4780992269515991
1724043394.7131443,126,1.8985424041748047
1724043398.1690247,127,1.634655237197876
1724043405.0742266,129,2.2436420917510986
1724043412.0202613,131,1.283226728439331
1724043415.5137987,132,1.4618360996246338
1724043419.0118508,133,1.0343265533447266
1724043432.9661136,137,2.3789525032043457
1724043436.4485602,138,1.7862942218780518
1724043457.5728295,144,1.5086266994476318
1724043461.0923312,145,1.2956664562225342
1724043468.1558776,147,1.0367413759231567
1724043471.6915781,148,2.100181818008423
1724043482.2758436,151,3.062059164047241
1724043507.0038612,158,2.5644359588623047
1724043514.0520532,160,1.6488617658615112
1724043517.5678256,161,2.3379111289978027
1724043524.671538,163,1.8457601070404053
1724043531.805619,165,3.187169075012207
1724043538.882169,167,2.5821259021759033
1724043553.1019888,171,4.205413818359375
1724043556.6451626,172,3.7737607955932617
1724043560.1814206,173,4.1231465339660645
1724043570.731147,176,3.249284267425537
1724043574.280889,177,3.8898515701293945
1724043577.8173223,178,3.166245937347412
1724043581.392152,179,4.15506649017334
1724043588.457734,181,3.9734885692596436
1724043592.0109894,182,4.856848239898682
1724043602.6911771,185,4.91684103012085
1724043606.2547376,186,5.379380226135254
1724043609.8322313,187,3.429138422012329
1724043620.6257713,190,2.7680275440216064
1724043624.2313876,191,4.949766635894775
1724043627.8274293,192,4.119808197021484
1724043631.4256828,193,6.871574401855469
1724043642.2370813,196,5.807923316955566
1724043656.729911,200,4.003625392913818
1724043660.3788319,201,3.6082146167755127
1724043667.6386144,203,4.273681640625
1724043671.2917478,204,4.781151294708252
1724043674.9470685,205,4.69257926940918
1724043678.5700936,206,5.747232437133789
1724043685.847362,208,5.1582207679748535
1724043693.1070063,210,6.814815044403076
1724043700.4053123,212,3.427717447280884
1724043707.661732,214,4.563855171203613
1724043714.9801056,216,6.185626029968262
1724043718.6389987,217,5.285885334014893
1724043725.9313753,219,2.3653109073638916
1724043729.5672047,220,3.960644245147705
1724043733.2084882,221,4.616060256958008
1724043736.860017,222,4.1121649742126465
1724043740.4975734,223,3.6813735961914062
1724043747.763979,225,7.065353870391846
1724043751.4099689,226,3.5964643955230713
1724043766.2008743,230,3.6286354064941406
1724043788.4841874,236,6.238961696624756
1724043795.9178245,238,7.981686115264893
1724043799.6479123,239,7.124002933502197
1724043803.3308249,240,8.369698524475098
1724043810.6928973,242,5.3670573234558105
1724043814.3839374,243,9.510167121887207
1724043821.8640144,245,7.1693010330200195
1724043825.6082428,246,7.730865955352783
1724043829.3259869,247,5.850401878356934
1724043833.0274808,248,8.886947631835938
1724043851.567753,253,5.620804309844971
1724043855.3161047,254,5.891956806182861
1724043859.0468578,255,4.128324508666992
1724043870.3274555,258,5.538338661193848
1724043874.0961487,259,7.192873954772949
1724043877.8570478,260,11.761408805847168
1724043881.663632,261,4.635197639465332
1724043889.244225,263,8.378076553344727
1724043919.47824,271,11.537449836730957
1724043923.2723353,272,14.783425331115723
1724043934.623273,275,8.777153968811035
1724043938.4018831,276,8.809900283813477
1724043942.1814036,277,6.006715774536133
1724043949.7561557,279,10.293946266174316
1724043957.3325834,281,11.26742935180664
1724043964.9373703,283,6.6055588722229
1724043968.740132,284,10.979541778564453
1724043976.3343542,286,10.803878784179688
1724043983.8919322,288,7.586718559265137
1724043987.7702768,289,5.798296928405762
1724043995.4312463,291,11.921360969543457
1724044014.5344448,296,7.28571081161499
1724044018.3685572,297,10.66420841217041
1724044022.2074296,298,8.674275398254395
1724044026.030133,299,9.553071022033691
1724044049.0070834,305,10.102652549743652
1724044056.7136548,307,14.028505325317383
1724044064.4461234,309,7.186277866363525
1724044068.3044627,310,6.883402347564697
1724044079.8338494,313,7.503201007843018
1724044083.6854725,314,11.736696243286133
1724044095.352883,317,13.706378936767578
1724044103.0389445,319,11.65417194366455
1724044106.897695,320,6.511463642120361
1724044118.52195,323,10.018913269042969
1724044126.2253833,325,6.170931816101074
1724044145.5539165,330,10.881230354309082
1724044149.4329267,331,11.466175079345703
1724044153.2950442,332,10.237115859985352
