Wall time,Step,Value
1724028993.4167058,1,0.09508951753377914
1724029010.346751,4,0.09413090348243713
1724029016.1483624,5,0.04516373947262764
1724029049.7627614,11,0.14531198143959045
1724029055.26592,12,0.24954114854335785
1724029071.544805,15,0.08290799707174301
1724029077.100503,16,0.1862780749797821
1724029093.8875983,19,0.16104523837566376
1724029099.7244844,20,0.17892442643642426
1724029105.603082,21,0.17231853306293488
1724029116.7819817,23,0.3391323387622833
1724029122.5580716,24,0.10253674536943436
1724029139.3891804,27,0.26020514965057373
1724029145.0080676,28,0.33566001057624817
1724029178.5698123,34,0.4265028238296509
1724029195.8874826,37,0.17663773894309998
1724029201.456566,38,0.42399951815605164
1724029207.3318894,39,0.39522188901901245
1724029213.2983353,40,0.2353689968585968
1724029219.2277837,41,0.38789618015289307
1724029258.707649,48,0.5300564169883728
1724029264.4971259,49,0.26233935356140137
1724029270.2567608,50,0.6570317149162292
1724029281.9286184,52,0.5108123421669006
1724029287.6919923,53,0.6950992941856384
1724029299.292493,55,0.321686327457428
1724029316.355047,58,0.9284011125564575
1724029334.4266906,61,0.33594387769699097
1724029340.2858653,62,0.3808884620666504
1724029345.959856,63,0.40409156680107117
1724029351.569425,64,0.797950267791748
1724029363.4515197,66,0.5253825187683105
1724029369.3016572,67,0.2544298768043518
1724029375.1113899,68,0.6946523189544678
1724029381.0325232,69,0.6445926427841187
1724029393.0528412,71,0.6044793725013733
1724029399.075207,72,0.47034379839897156
1724029435.497675,78,0.3986434042453766
1724029447.3547435,80,0.4532976746559143
1724029453.2724054,81,0.6086311340332031
1724029465.463393,83,0.7034105658531189
1724029471.7005272,84,0.5738832354545593
1724029483.8497713,86,0.707283079624176
1724029507.3070993,90,0.5116924047470093
1724029513.2980752,91,0.3358350992202759
1724029543.756508,96,0.5350122451782227
1724029568.9817023,100,0.6437283754348755
1724029575.0603566,101,0.628368616104126
1724029593.1395938,104,1.090288519859314
1724029611.7634268,107,0.5058678388595581
1724029618.04298,108,0.733354389667511
1724029630.5298707,110,0.8113704323768616
1724029661.4791038,115,0.9344674944877625
1724029673.5628135,117,1.5260940790176392
1724029704.2184348,122,0.6253268122673035
1724029729.0321896,126,1.0980701446533203
1724029735.2152376,127,0.8162708878517151
1724029747.602041,129,0.7931880950927734
1724029760.2372527,131,0.9294688105583191
1724029766.3621266,132,0.8138548135757446
1724029772.694886,133,0.40696245431900024
1724029797.7974885,137,0.7985872626304626
1724029804.1958518,138,0.6594083905220032
1724029841.2950215,144,0.6817725896835327
1724029847.2076406,145,0.9163164496421814
1724029859.7464387,147,0.9752223491668701
1724029866.2453806,148,0.7909729480743408
1724029885.1586697,151,1.1421717405319214
1724029929.6753223,158,0.8527304530143738
1724029942.7227237,160,1.0840994119644165
1724029949.1734347,161,0.9493319988250732
1724029961.8205311,163,0.7588456273078918
1724029973.727197,165,0.6733646392822266
1724029986.428489,167,1.1436103582382202
1724030012.3547378,171,1.4008570909500122
1724030018.5211673,172,0.81882244348526
1724030024.8894498,173,1.0883668661117554
1724030044.358732,176,1.119429111480713
1724030050.8177588,177,0.8734235763549805
1724030057.3778362,178,1.1494978666305542
1724030063.7490306,179,0.955978274345398
1724030076.711228,181,0.9789142608642578
1724030083.2433662,182,1.0367470979690552
1724030102.7981048,185,0.5529832243919373
1724030109.1434622,186,1.0262700319290161
1724030116.0147362,187,0.611129641532898
1724030135.57618,190,0.914832353591919
1724030142.2111206,191,0.8480437994003296
1724030148.8306346,192,1.041661024093628
1724030155.4189272,193,0.9575151801109314
1724030175.205705,196,1.0528204441070557
1724030201.735384,200,1.1287717819213867
1724030208.435731,201,1.108699083328247
1724030221.1065676,203,1.4256659746170044
1724030227.4243903,204,1.1065237522125244
1724030233.9468167,205,1.591766357421875
1724030240.431356,206,1.1012650728225708
1724030253.83435,208,1.3211016654968262
1724030267.0255587,210,1.3001658916473389
1724030280.3591166,212,1.3547604084014893
1724030293.5760589,214,1.4581834077835083
1724030306.6932201,216,1.2578073740005493
1724030313.4509091,217,0.594356119632721
1724030326.4715214,219,0.9173922538757324
1724030332.8795736,220,1.9602606296539307
1724030339.63542,221,1.108459234237671
1724030346.2898326,222,1.1831783056259155
1724030352.9566414,223,1.2677947282791138
